ARKO	Arko Corp.	Specialty Retail	716.50M
ARKR	Ark Restaurants Corp.	Restaurants	24.97M
ARL	American Realty Investors, Inc.	Real Estate Services	276.20M
ARLO	Arlo Technologies, Inc.	Building Products & Equipment	1.65B
ARLP	Alliance Resource Partners, L.P.	Thermal Coal	3.40B
ARM	Arm Holdings plc	Semiconductors	135.35B
ARMK	Aramark	Specialty Business Services	11.00B
ARMP	Armata Pharmaceuticals, Inc.	Biotechnology	391.74M
AROC	Archrock, Inc.	Oil & Gas Equipment & Services	6.18B
AROW	Arrow Financial Corporation	Banks - Regional	547.79M
ARQ	Arq, Inc.	Pollution & Treatment Controls	149.86M
ARQQ	Arqit Quantum Inc.	Software - Infrastructure	257.63M
ARQT	Arcutis Biotherapeutics, Inc.	Biotechnology	3.35B
ARR	ARMOUR Residential REIT, Inc.	REIT - Mortgage	2.14B
ARRY	Array Technologies, Inc.	Solar	1.16B
ARTC	Art Technology Acquisition Corp.	Shell Companies	331.60M
ARTL	Artelo Biosciences, Inc.	Biotechnology	2.53M
ARTNA	Artesian Resources Corporation	Utilities - Regulated Water	349.41M
ARTV	Artiva Biotherapeutics, Inc.	Biotechnology	142.85M
ARTW	Art's-Way Manufacturing Co., Inc.	Farm & Heavy Construction Machinery	12.22M
ARVN	Arvinas, Inc.	Biotechnology	848.76M
ARW	Arrow Electronics, Inc.	Electronics & Computer Distribution	7.77B
ARWR	Arrowhead Pharmaceuticals, Inc.	Biotechnology	8.86B
ARX	Accelerant Holdings	Insurance Brokers	2.62B
AS	Amer Sports, Inc.	Leisure	21.18B
ASA	ASA Gold and Precious Metals Limited	Asset Management	1.53B
ASAN	Asana, Inc.	Software - Application	1.68B
ASB	Associated Banc-Corp	Banks - Regional	4.32B
ASBP	Aspire Biopharma Holdings, Inc.	Biotechnology	6.98M
ASC	Ardmore Shipping Corporation	Marine Shipping	667.18M
ASGN	ASGN Incorporated	Information Technology Services	1.77B
ASH	Ashland Inc.	Specialty Chemicals	2.85B
ASIC	Ategrity Specialty Insurance Company Holdings	Insurance - Property & Casualty	1.06B
ASIX	AdvanSix Inc.	Chemicals	479.14M
ASLE	AerSale Corporation	Airports & Air Services	368.04M
ASM	Avino Silver & Gold Mines Ltd.	Other Precious Metals & Mining	1.51B
ASMB	Assembly Biosciences, Inc.	Biotechnology	471.98M
ASML	ASML Holding N.V.	Semiconductor Equipment & Materials	561.49B
ASND	Ascendis Pharma A/S	Biotechnology	14.33B
ASNS	Actelis Networks, Inc.	Communication Equipment	1.62M
ASO	Academy Sports and Outdoors, Inc.	Specialty Retail	4.01B
ASPC	A SPAC III Acquisition Corp.	Shell Companies	27.93M
ASPI	ASP Isotopes Inc.	Chemicals	668.09M
ASPN	Aspen Aerogels, Inc.	Building Products & Equipment	257.86M
ASPS	Altisource Portfolio Solutions S.A.	Real Estate Services	83.77M
ASR	Grupo Aeroportuario del Sureste, S. A. B. de C. V.	Airports & Air Services	10.79B
ASRT	Assertio Holdings, Inc.	Drug Manufacturers - Specialty & Generic	75.14M
ASRV	AmeriServ Financial, Inc.	Banks - Regional	62.78M
ASST	Strive Asset Management, LLC	Asset Management	500.61M
ASTC	Astrotech Corporation	Scientific & Technical Instruments	4.71M
ASTE	Astec Industries, Inc.	Farm & Heavy Construction Machinery	1.42B
ASTH	Astrana Health, Inc.	Medical Care Facilities	1.02B
ASTI	Ascent Solar Technologies, Inc.	Solar	48.47M
