RYAN	Ryan Specialty Holdings, Inc.	Insurance - Specialty	10.40B
RYDE	Ryde Group Ltd	Software - Application	28.15M
RYET	Ruanyun Edai Technology Inc.	Education & Training Services	32.63M
RYM	RYTHM, Inc.	Tobacco	38.37M
RYN	Rayonier Inc.	REIT - Specialty	3.51B
RYOJ	rYojbaba Co., Ltd.	Consulting Services	30.04M
RYTM	Rhythm Pharmaceuticals, Inc.	Biotechnology	6.33B
RYZ	Ryerson Holding Corporation	-	1.35B
RZLT	Rezolute, Inc.	Biotechnology	333.43M
RZLV	Rezolve AI PLC	Software - Infrastructure	929.27M
S	SentinelOne, Inc.	Software - Infrastructure	4.46B
SA	Seabridge Gold Inc.	Gold	4.11B
SAAQ	Space Asset Acquisition Corp.	Shell Companies	276.60M
SABR	Sabre Corporation	Software - Infrastructure	466.29M
SABS	SAB Biotherapeutics, Inc.	Biotechnology	195.19M
SAC	Safeguard Acquisition Corp.	Shell Companies	312.73M
SACH	Sachem Capital Corp.	REIT - Mortgage	48.64M
SAFE	Safehold Inc.	REIT - Diversified	1.16B
SAFT	Safety Insurance Group, Inc.	Insurance - Property & Casualty	1.16B
SAFX	XCF Global, Inc.	Utilities - Renewable	48.23M
SAGT	Sagtec Global Limited	Software - Application	25.88M
SAH	Sonic Automotive, Inc.	Auto & Truck Dealerships	2.11B
SAIA	Saia, Inc.	Trucking	10.78B
SAIC	Science Applications International Corporation	Information Technology Services	4.16B
SAIH	SAIHEAT Limited	Information Technology Services	12.58M
SAIL	SailPoint, Inc.	Software - Infrastructure	7.92B
SAM	The Boston Beer Company, Inc.	Beverages - Brewers	2.32B
SAMG	Silvercrest Asset Management Group Inc.	Asset Management	186.09M
SAN	Banco Santander, S.A.	Banks - Diversified	185.51B
SANA	Sana Biotechnology, Inc.	Biotechnology	1.12B
SANG	Sangoma Technologies Corporation	Software - Infrastructure	153.46M
SANM	Sanmina Corporation	Electronic Components	8.48B
SAP	SAP SE	Software - Application	235.86B
SAR	Saratoga Investment Corp.	Asset Management	374.82M
SARO	StandardAero, Inc.	Aerospace & Defense	10.25B
SATL	Satellogic Inc.	Aerospace & Defense	428.60M
SATS	EchoStar Corporation	Telecom Services	33.26B
SAVA	Cassava Sciences, Inc.	Biotechnology	110.14M
SB	Safe Bulkers, Inc.	Marine Shipping	670.73M
SBAC	SBA Communications Corporation	REIT - Specialty	21.26B
SBC	SBC Medical Group Holdings Incorporated	Consulting Services	395.95M
SBCF	Seacoast Banking Corporation of Florida	Banks - Regional	3.01B
SBDS	Solo Brands, Inc.	Internet Retail	17.72M
SBET	Sharplink, Inc.	Advertising Agencies	1.34B
SBEV	Splash Beverage Group, Inc.	Beverages - Wineries & Distilleries	1.59M
SBFG	SB Financial Group, Inc.	Banks - Regional	130.16M
SBFM	Sunshine Biopharma, Inc.	Drug Manufacturers - Specialty & Generic	5.89M
SBGI	Sinclair, Inc.	Broadcasting	1.14B
SBH	Sally Beauty Holdings, Inc.	Specialty Retail	1.56B
SBLK	Star Bulk Carriers Corp.	Marine Shipping	2.93B
SBLX	StableX Technologies, Inc.	Auto Manufacturers	3.45M
SBR	Sabine Royalty Trust	Oil & Gas Midstream	1.06B
SBRA	Sabra Health Care REIT, Inc.	REIT - Healthcare Facilities	5.18B
SBS	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities - Regulated Water	21.11B
SBSI	Southside Bancshares, Inc.	Banks - Regional	930.92M
SBSW	Sibanye Stillwater Limited	Other Precious Metals & Mining	12.46B
SBUX	Starbucks Corporation	Restaurants	111.67B
SBXD	SilverBox Corp IV	Shell Companies	272.11M
SBXE	SilverBox Corp V	Shell Companies	336.60M
SCCO	Southern Copper Corporation	Copper	180.33B
SCHL	Scholastic Corporation	Publishing	884.61M
SCHW	The Charles Schwab Corporation	Capital Markets	166.81B
SCI	Service Corporation International	Personal Services	11.72B
SCII	SC II Acquisition Corp.	Shell Companies	239.34M
SCKT	Socket Mobile, Inc.	Computer Hardware	7.14M
SCL	Stepan Company	Specialty Chemicals	1.15B
SCLX	Scilex Holding Company	Drug Manufacturers - General	50.30M
SCM	Stellus Capital Investment Corporation	Asset Management	290.05M
SCNI	Scinai Immunotherapeutics Ltd.	Biotechnology	3.08M
SCNX	Scienture Holdings, Inc.	Pharmaceutical Retailers	17.48M
SCOR	comScore, Inc.	Software - Application	101.31M
SCPQ	Social Commerce Partners Corporation	Shell Companies	135.60M
SCSC	ScanSource, Inc.	Electronics & Computer Distribution	790.05M
SCVL	Shoe Carnival, Inc.	Apparel Retail	552.70M
SCWO	374Water Inc.	Pollution & Treatment Controls	43.84M
SCYX	SCYNEXIS, Inc.	Drug Manufacturers - Specialty & Generic	31.47M
SCZM	Santacruz Silver Mining Ltd.	Other Industrial Metals & Mining	1.15B
SD	SandRidge Energy, Inc.	Oil & Gas Exploration & Production	643.71M
SDA	SunCar Technology Group Inc.	Auto & Truck Dealerships	230.54M
SDGR	Schrödinger, Inc.	Health Information Services	890.33M
SDHC	Smith Douglas Homes Corp.	Real Estate - Development	807.82M
SDHI	Siddhi Acquisition Corp.	Shell Companies	358.31M
SDM	Smart Digital Group Limited	Advertising Agencies	49.44M
SDOT	Sadot Group Inc.	Farm Products	3.99M
SDRL	Seadrill Limited	Oil & Gas Drilling	2.74B
SDST	Stardust Power Inc.	Electrical Equipment & Parts	33.68M
SE	Sea Limited	Internet Retail	64.20B
SEAT	Vivid Seats Inc.	Internet Content & Information	86.64M
SEB	Seaboard Corporation	Conglomerates	4.92B
SEDG	SolarEdge Technologies, Inc.	Solar	2.14B
SEE	Sealed Air Corporation	Packaging & Containers	6.17B
SEED	Origin Agritech Limited	Agricultural Inputs	12.87M
SEER	Seer, Inc.	Biotechnology	96.75M
SEG	Seaport Entertainment Group Inc.	Real Estate Services	297.49M
SEI	Solaris Energy Infrastructure, Inc.	Oil & Gas Equipment & Services	3.40B
SEIC	SEI Investments Company	Asset Management	9.94B
SELF	Global Self Storage, Inc.	REIT - Specialty	57.82M
SELX	Semilux International Ltd.	Electronic Components	22.77M
SEM	Select Medical Holdings Corporation	Medical Care Facilities	1.86B
SEMR	Semrush Holdings, Inc.	Software - Application	1.79B
SENEA	Seneca Foods Corporation	Packaged Foods	951.28M
SENEB	Seneca Foods Corporation	Packaged Foods	773.42M
SENS	Senseonics Holdings, Inc.	Medical Devices	337.90M
SEPN	Septerna, Inc.	Biotechnology	1.30B
SER	Serina Therapeutics, Inc.	Biotechnology	19.41M
SERA	Sera Prognostics, Inc.	Medical Devices	88.38M
SERV	Serve Robotics Inc.	Specialty Industrial Machinery	745.10M
SES	SES AI Corporation	Auto Parts	598.72M
SEV	Aptera Motors Corp.	Auto Manufacturers	82.05M
SEVN	Seven Hills Realty Trust	REIT - Mortgage	193.43M
SEZL	Sezzle Inc.	Credit Services	2.47B
SF	Stifel Financial Corp.	Capital Markets	11.46B
SFBC	Sound Financial Bancorp, Inc.	Banks - Regional	108.33M
SFBS	ServisFirst Bancshares, Inc.	Banks - Regional	4.43B
SFD	Smithfield Foods, Inc.	Packaged Foods	9.78B
SFHG	Samfine Creation Holdings Group Limited	Specialty Business Services	11.81M
SFIX	Stitch Fix, Inc.	Apparel Retail	446.88M
SFL	SFL Corporation Ltd.	Marine Shipping	1.46B
SFM	Sprouts Farmers Market, Inc.	Grocery Stores	6.99B
SFNC	Simmons First National Corporation	Banks - Regional	2.88B
SFST	Southern First Bancshares, Inc.	Banks - Regional	459.63M
SFWL	Shengfeng Development Limited	Integrated Freight & Logistics	74.25M
SG	Sweetgreen, Inc.	Restaurants	657.39M
SGA	Saga Communications, Inc.	Broadcasting	74.81M
SGC	Superior Group of Companies, Inc.	Apparel Manufacturing	158.57M
SGHC	Super Group (SGHC) Limited	Gambling	5.39B
SGHT	Sight Sciences, Inc.	Medical Devices	272.82M
SGI	Somnigroup International Inc.	Furnishings, Fixtures & Appliances	18.79B
SGLY	Singularity Future Technology Ltd.	Integrated Freight & Logistics	2.99M
SGML	Sigma Lithium Corporation	Other Industrial Metals & Mining	1.61B
SGMO	Sangamo Therapeutics, Inc.	Biotechnology	160.68M
SGMT	Sagimet Biosciences Inc.	Biotechnology	185.70M
SGN	Signing Day Sports, Inc.	Software - Application	7.35M
SGP	SpyGlass Pharma, Inc.	Biotechnology	932.89M
SGRP	SPAR Group, Inc.	Specialty Business Services	17.95M
SGRY	Surgery Partners, Inc.	Medical Care Facilities	1.99B
SGU	Star Group, L.P.	Oil & Gas Refining & Marketing	422.50M
SHAK	Shake Shack Inc.	Restaurants	4.10B
SHAZ	SharonAI Holdings Inc.	Information Technology Services	400.47M
SHBI	Shore Bancshares, Inc.	Banks - Regional	620.82M
SHC	Sotera Health Company	Diagnostics & Research	4.62B
SHEL	Shell plc	Oil & Gas Integrated	234.28B
SHEN	Shenandoah Telecommunications Company	Telecom Services	753.76M
SHFS	SHF Holdings, Inc.	Banks - Regional	2.82M
SHG	Shinhan Financial Group Co., Ltd.	Banks - Regional	31.94B
SHIM	Shimmick Corporation	Engineering & Construction	126.79M
SHIP	Seanergy Maritime Holdings Corp.	Marine Shipping	302.99M
SHLS	Shoals Technologies Group, Inc.	Solar	992.98M
SHMD	SCHMID Group N.V.	Specialty Industrial Machinery	359.20M
SHO	Sunstone Hotel Investors, Inc.	REIT - Hotel & Motel	1.76B
SHOO	Steven Madden, Ltd.	Footwear & Accessories	2.62B
SHOP	Shopify Inc.	Software - Application	157.45B
SHPH	Shuttle Pharmaceuticals Holdings, Inc.	Drug Manufacturers - Specialty & Generic	2.68M
SHW	The Sherwin-Williams Company	Specialty Chemicals	89.32B
SI	Shoulder Innovations, Inc.	Medical - Specialties	279.36M
SIBN	SI-BONE, Inc.	Medical Devices	685.45M
SID	Companhia Siderúrgica Nacional	Steel	2.23B
SIDU	Sidus Space, Inc.	Aerospace & Defense	129.71M
SIEB	Siebert Financial Corp.	Capital Markets	76.81M
SIF	SIFCO Industries, Inc.	Aerospace & Defense	86.95M
SIFY	Sify Technologies Limited	Telecom Services	1.13B
SIG	Signet Jewelers Limited	Luxury Goods	3.91B
SIGA	SIGA Technologies, Inc.	Drug Manufacturers - Specialty & Generic	463.33M
SIGI	Selective Insurance Group, Inc.	Insurance - Property & Casualty	5.05B
SII	Sprott Inc.	Asset Management	4.18B
SILA	Sila Realty Trust, Inc.	REIT - Healthcare Facilities	1.42B
SILC	Silicom Ltd.	Communication Equipment	111.78M
SILO	Silo Pharma, Inc.	Biotechnology	4.88M
SIM	Grupo Simec, S.A.B. de C.V.	Steel	4.81B
SIMA	SIM Acquisition Corp. I	Shell Companies	330.28M
SIMO	Silicon Motion Technology Corporation	Semiconductors	4.39B
SINT	Sintx Technologies, Inc.	Medical Devices	11.13M
SION	Sionna Therapeutics, Inc.	Biotechnology	1.63B
SIRI	Sirius XM Holdings Inc.	Entertainment	7.35B
SITC	SITE Centers Corp.	REIT - Retail	323.17M
SITE	SiteOne Landscape Supply, Inc.	Industrial Distribution	6.35B
SITM	SiTime Corporation	Semiconductors	10.46B
SJ	Scienjoy Holding Corporation	Internet Content & Information	55.24M
SJM	The J. M. Smucker Company	Packaged Foods	12.37B
SJT	San Juan Basin Royalty Trust	Oil & Gas Exploration & Production	241.43M
SKBL	Skyline Builders Group Holding Limited	Engineering & Construction	45.80M
SKE	Skeena Resources Limited	Other Industrial Metals & Mining	4.62B
SKIL	Skillsoft Corp.	Education & Training Services	36.70M
SKIN	The Beauty Health Company	Household & Personal Products	132.60M
SKK	SKK Holdings Limited	Engineering & Construction	5.11M
SKLZ	Skillz Inc.	Electronic Gaming & Multimedia	50.76M
SKM	SK Telecom Co., Ltd.	Telecom Services	11.80B
SKT	Tanger Inc.	REIT - Retail	4.42B
SKWD	Skyward Specialty Insurance Group, Inc.	Insurance - Property & Casualty	2.05B
SKY	Champion Homes, Inc.	Residential Construction	5.17B
SKYE	Skye Bioscience, Inc.	Biotechnology	23.88M
SKYH	Sky Harbour Group Corporation	Real Estate - Development	692.97M
SKYQ	Sky Quarry Inc.	Oil & Gas Integrated	11.29M
SKYT	SkyWater Technology, Inc.	Semiconductors	1.43B
SKYW	SkyWest, Inc.	Airlines	4.21B
SKYX	SKYX Platforms Corp.	Electrical Equipment & Parts	257.68M
SLAB	Silicon Laboratories Inc.	Semiconductors	6.74B
SLAI	SOLAI Limited	Information Technology Services	15.82M
SLB	SLB N.V.	Oil & Gas Equipment & Services	76.77B
SLDB	Solid Biosciences Inc.	Biotechnology	483.82M
SLDE	Slide Insurance Holdings, Inc.	Insurance - Property & Casualty	2.35B
SLDP	Solid Power, Inc.	Auto Parts	780.85M
SLE	Super League Enterprise, Inc.	Internet Content & Information	3.85M
SLF	Sun Life Financial Inc.	Insurance - Diversified	36.31B
SLG	SL Green Realty Corp.	REIT - Office	2.83B
SLGB	Smart Logistics Global Limited	Integrated Freight & Logistics	53.30M
SLGL	Sol-Gel Technologies Ltd.	Biotechnology	255.40M
SLGN	Silgan Holdings Inc.	Packaging & Containers	5.07B
SLI	Standard Lithium Ltd.	Other Industrial Metals & Mining	1.11B
SLM	SLM Corporation	Credit Services	3.71B
SLMT	Brera Holdings PLC	Entertainment	86.09M
SLN	Silence Therapeutics plc	Biotechnology	256.95M
SLND	Southland Holdings, Inc.	Engineering & Construction	60.61M
SLNG	Stabilis Solutions, Inc.	Oil & Gas Integrated	104.98M
SLNH	Soluna Holdings, Inc.	Capital Markets	85.69M
SLNO	Soleno Therapeutics, Inc.	Biotechnology	2.02B
SLP	Simulations Plus, Inc.	Health Information Services	246.39M
SLQT	SelectQuote, Inc.	Insurance Brokers	151.63M
SLRC	SLR Investment Corp.	Asset Management	786.68M
SLS	SELLAS Life Sciences Group, Inc.	Biotechnology	839.49M
SLSN	Solesence, Inc.	Household & Personal Products	90.29M
SLSR	Solaris Resources Inc.	Other Precious Metals & Mining	1.80B
SLVM	Sylvamo Corporation	Paper & Paper Products	1.83B
SLXN	Silexion Therapeutics Corp	Biotechnology	5.39M
SM	SM Energy Company	Oil & Gas Exploration & Production	5.57B
SMA	SmartStop Self Storage REIT, Inc.	REIT - Industrial	1.96B
SMBC	Southern Missouri Bancorp, Inc.	Banks - Regional	687.71M
SMBK	SmartFinancial, Inc.	Banks - Regional	667.72M
SMC	Summit Midstream Corporation	Oil & Gas Midstream	361.85M
SMCI	Super Micro Computer, Inc.	Computer Hardware	19.40B
SMFG	Sumitomo Mitsui Financial Group, Inc.	Banks - Diversified	147.08B
SMG	The Scotts Miracle-Gro Company	Agricultural Inputs	4.07B
SMHI	SEACOR Marine Holdings Inc.	Marine Shipping	206.64M
SMID	Smith-Midland Corporation	Building Materials	203.75M
SMJF	SMJ International Holdings Inc.	Building Products & Equipment	70.65M
SMMT	Summit Therapeutics Inc.	Biotechnology	12.86B
SMP	Standard Motor Products, Inc.	Auto Parts	872.93M
SMPL	The Simply Good Foods Company	Packaged Foods	1.58B
SMR	NuScale Power Corporation	Specialty Industrial Machinery	4.34B
SMRT	SmartRent, Inc.	Software - Application	287.59M
SMSI	Smith Micro Software, Inc.	Software - Application	14.30M
SMTC	Semtech Corporation	Semiconductors	8.35B
SMTI	Sanara MedTech Inc.	Medical Instruments & Supplies	182.64M
SMTK	SmartKem, Inc.	Semiconductor Equipment & Materials	1.90M
SMWB	Similarweb Ltd.	Software - Application	225.23M
SMX	SMX (Security Matters) Public Limited Company	Specialty Business Services	75.84M
SMXT	SolarMax Technology, Inc.	Solar	38.63M
SN	SharkNinja, Inc.	Furnishings, Fixtures & Appliances	17.34B
SNA	Snap-on Incorporated	Tools & Accessories	20.00B
SNAL	Snail, Inc.	Electronic Gaming & Multimedia	24.57M
SNAP	Snap Inc.	Internet Content & Information	8.80B
SNBR	Sleep Number Corporation	Furnishings, Fixtures & Appliances	140.61M
SNCY	Sun Country Airlines Holdings, Inc.	Airlines	1.05B
SND	Smart Sand, Inc.	Oil & Gas Equipment & Services	225.99M
SNDA	Sonida Senior Living, Inc.	Medical Care Facilities	639.21M
SNDK	Sandisk Corporation	Computer Hardware	93.78B
SNDL	SNDL Inc.	Beverages - Wineries & Distilleries	396.55M
SNDR	Schneider National, Inc.	Trucking	4.98B
SNDX	Syndax Pharmaceuticals, Inc.	Biotechnology	1.91B
SNES	SenesTech, Inc.	Specialty Chemicals	11.75M
SNEX	StoneX Group Inc.	Capital Markets	6.69B
SNFCA	Security National Financial Corporation	Insurance - Life	223.79M
SNGX	Soligenix, Inc.	Biotechnology	11.90M
SNN	Smith & Nephew plc	Medical Devices	15.69B
SNOA	Sonoma Pharmaceuticals, Inc.	Drug Manufacturers - Specialty & Generic	5.02M
SNOW	Snowflake Inc.	Software - Application	57.63B
SNPS	Synopsys, Inc.	Software - Infrastructure	79.31B
SNSE	Sensei Biotherapeutics, Inc.	Biotechnology	38.60M
SNT	Senstar Technologies Corporation	Security & Protection Services	80.73M
SNTG	Sentage Holdings Inc.	Credit Services	5.36M
SNTI	Senti Biosciences, Inc.	Biotechnology	24.82M
SNWV	SANUWAVE Health, Inc.	Medical Devices	208.62M
SNX	TD SYNNEX Corporation	Electronics & Computer Distribution	12.64B
SNY	Sanofi	Drug Manufacturers - General	117.29B
SNYR	Synergy CHC Corp.	Medical Distribution	15.75M
SO	The Southern Company	Utilities - Regulated Electric	109.01B
SOAR	Volato Group, Inc.	Airports & Air Services	2.23M
SOBO	South Bow Corporation	Oil & Gas Midstream	6.70B
SOBR	SOBR Safe, Inc.	Scientific & Technical Instruments	1.38M
SOC	Sable Offshore Corp.	Oil & Gas Drilling	1.20B
SOCA	Solarius Capital Acquisition Corp.	Shell Companies	229.95M
SOFI	SoFi Technologies, Inc.	Credit Services	22.65B
SOGP	Sound Group Inc.	Internet Content & Information	62.23M
SOHU	Sohu.com Limited	Electronic Gaming & Multimedia	496.68M
SOLS	Solstice Advanced Materials, Inc.	Specialty Chemicals	12.46B
SOLV	Solventum Corporation	Medical Instruments & Supplies	12.87B
SOMN	The Southern Company	Utilities - Regulated Electric	109.01B
SON	Sonoco Products Company	Packaging & Containers	5.57B
SONM	DNA X, Inc.	Software - Infrastructure	8.10M
SONO	Sonos, Inc.	Consumer Electronics	1.86B
SONY	Sony Group Corporation	Consumer Electronics	138.87B
SOPA	Society Pass Incorporated	Advertising Agencies	9.36M
SOPH	SOPHiA GENETICS SA	Health Information Services	305.31M
SORA	AsiaStrategy	Luxury Goods	48.48M
SORN	Soren Acquisition Corp.	Shell Companies	382.69M
SOS	SOS Limited	Capital Markets	11.27M
SOTK	Sono-Tek Corporation	Scientific & Technical Instruments	67.40M
SOUL	Soulpower Acquisition Corporation	Shell Companies	348.02M
SOUN	SoundHound AI, Inc.	Software - Application	3.63B
SOWG	Sow Good Inc.	Confectioners	6.00M
SPAI	Safe Pro Group Inc.	Aerospace & Defense	107.17M
SPB	Spectrum Brands Holdings, Inc.	Household & Personal Products	1.82B
SPCB	SuperCom Ltd.	Security & Protection Services	39.67M
SPCE	Virgin Galactic Holdings, Inc.	Aerospace & Defense	186.48M
SPEG	Silver Pegasus Acquisition Corp.	Shell Companies	155.48M
SPFI	South Plains Financial, Inc.	Banks - Regional	667.71M
SPG	Simon Property Group, Inc.	REIT - Retail	77.59B
SPGI	S&P Global Inc.	Financial Data & Stock Exchanges	132.02B
SPH	Suburban Propane Partners, L.P.	Utilities - Regulated Gas	1.35B
SPHL	Springview Holdings Ltd	Residential Construction	32.68M
SPHR	Sphere Entertainment Co.	Entertainment	4.23B
SPIR	Spire Global, Inc.	Specialty Business Services	292.94M
SPKL	Spark I Acquisition Corporation	Shell Companies	98.45M
SPMC	Sound Point Meridian Capital, Inc.	Asset Management	200.49M
SPNT	SiriusPoint Ltd.	Insurance - Reinsurance	2.47B
SPOK	Spok Holdings, Inc.	Health Information Services	250.06M
SPOT	Spotify Technology S.A.	Internet Content & Information	105.99B
SPPL	Simpple Ltd.	Specialty Industrial Machinery	18.92M
SPRB	Spruce Biosciences, Inc.	Biotechnology	58.81M
SPRC	SciSparc Ltd.	Biotechnology	2.82M
SPRO	Spero Therapeutics, Inc.	Biotechnology	122.26M
SPRU	Spruce Power Holding Corporation	Solar	73.22M
SPRY	ARS Pharmaceuticals, Inc.	Biotechnology	917.32M
SPSC	SPS Commerce, Inc.	Software - Application	2.11B
SPT	Sprout Social, Inc.	Software - Application	384.14M
SPWH	Sportsman's Warehouse Holdings, Inc.	Specialty Retail	45.41M
SPWR	SunPower Inc.	Solar	147.89M
SPXC	SPX Technologies, Inc.	Building Products & Equipment	11.32B
SQFT	Presidio Property Trust, Inc.	REIT - Diversified	3.59M
SQM	Sociedad Química y Minera de Chile S.A.	Specialty Chemicals	21.79B
SQNS	Sequans Communications S.A.	Semiconductors	46.23M
SR	Spire Inc.	Utilities - Regulated Gas	5.41B
SRAD	Sportradar Group AG	Software - Application	5.46B
SRBK	SR Bancorp, Inc.	Banks - Regional	132.59M
SRCE	1st Source Corporation	Banks - Regional	1.63B
SRE	Sempra	Utilities - Diversified	62.89B
SRFM	Surf Air Mobility Inc.	Airlines	123.29M
SRG	Seritage Growth Properties	Real Estate Services	166.72M
SRI	Stoneridge, Inc.	Auto Parts	221.05M
SRL	Scully Royalty Ltd.	Capital Markets	137.04M
SRPT	Sarepta Therapeutics, Inc.	Biotechnology	1.76B
SRRK	Scholar Rock Holding Corporation	Biotechnology	4.52B
SRTA	Strata Critical Medical, Inc.	Medical Care Facilities	369.65M
SRTS	Sensus Healthcare, Inc.	Medical Devices	67.67M
SRXH	SRx Health Solutions Inc.	Packaged Foods	37.34M
SRZN	Surrozen, Inc.	Biotechnology	238.29M
SSAC	SPACSphere Acquisition Corp.	Shell Companies	230.18M
SSB	SouthState Bank Corporation	Banks - Regional	9.68B
SSBI	Summit State Bank	Banks - Regional	88.50M
SSD	Simpson Manufacturing Co., Inc.	Lumber & Wood Production	8.03B
SSEA	Starry Sea Acquisition Corp	Shell Companies	77.28M
SSII	SS Innovations International, Inc.	Medical Devices	921.64M
SSL	Sasol Limited	Specialty Chemicals	5.87B
SSNC	SS&C Technologies Holdings, Inc.	Software - Application	18.18B
SSP	The E.W. Scripps Company	Broadcasting	368.53M
SSRM	SSR Mining Inc.	Gold	6.54B
SSSS	SuRo Capital Corp.	Asset Management	235.62M
SST	System1, Inc.	Specialty Business Services	33.09M
SSTI	SoundThinking, Inc.	Software - Application	92.70M
SSTK	Shutterstock, Inc.	Internet Content & Information	597.19M
SSYS	Stratasys Ltd.	Computer Hardware	822.75M
ST	Sensata Technologies Holding plc	Scientific & Technical Instruments	5.44B
STAA	STAAR Surgical Company	Medical Instruments & Supplies	989.86M
STAG	STAG Industrial, Inc.	REIT - Industrial	7.55B
STAK	STAK Inc.	Oil & Gas Equipment & Services	8.16M
STBA	S&T Bancorp, Inc.	Banks - Regional	1.56B
STC	Stewart Information Services Corporation	Insurance - Property & Casualty	2.15B
STE	STERIS plc	Medical Devices	24.75B
STEL	Stellar Bancorp, Inc.	Banks - Regional	1.91B
STEM	Stem, Inc.	Utilities - Renewable	88.18M
STEP	StepStone Group Inc.	Asset Management	5.18B
STEX	Streamex Corp.	Capital Markets	396.31M
STFS	Star Fashion Culture Holdings Limited	Advertising Agencies	4.25M
STG	Sunlands Technology Group	Education & Training Services	61.89M
STGW	Stagwell Inc.	Advertising Agencies	1.22B
STHO	Star Holdings	Real Estate Services	109.04M
STI	Solidion Technology, Inc.	Electrical Equipment & Parts	32.47M
STIM	Neuronetics, Inc.	Medical Devices	91.77M
STKE	Sol Strategies Inc.	Capital Markets	41.42M
STKH	Steakholder Foods Ltd.	Packaged Foods	3.92M
STKL	SunOpta Inc.	Beverages - Non-Alcoholic	763.72M
STKS	The ONE Group Hospitality, Inc.	Restaurants	62.83M
STLA	Stellantis N.V.	Auto Manufacturers	23.76B
STLD	Steel Dynamics, Inc.	Steel	28.20B
STM	STMicroelectronics N.V.	Semiconductors	29.84B
STN	Stantec Inc.	Engineering & Construction	10.56B
STNE	StoneCo Ltd.	Software - Infrastructure	4.41B
STNG	Scorpio Tankers Inc.	Oil & Gas Midstream	3.73B
STOK	Stoke Therapeutics, Inc.	Biotechnology	2.08B
STRA	Strategic Education, Inc.	Education & Training Services	1.87B
STRL	Sterling Infrastructure, Inc.	Engineering & Construction	13.12B
STRO	Sutro Biopharma, Inc.	Biotechnology	335.46M
STRR	Star Equity Holdings, Inc.	Conglomerates	34.29M
STRS	Stratus Properties Inc.	Real Estate - Diversified	244.00M
STRT	Strattec Security Corporation	Auto Parts	367.82M
STRW	Strawberry Fields REIT, Inc.	REIT - Healthcare Facilities	713.42M
STRZ	Starz Entertainment Corp.	Entertainment	184.59M
STSS	Sharps Technology, Inc.	Medical Instruments & Supplies	50.16M
STT	State Street Corporation	Asset Management	35.85B
STTK	Shattuck Labs, Inc.	Biotechnology	248.06M
STUB	StubHub Holdings, Inc.	Internet Content & Information	3.31B
STVN	Stevanato Group S.p.A.	Medical Instruments & Supplies	4.24B
STWD	Starwood Property Trust, Inc.	REIT - Mortgage	6.60B
STX	Seagate Technology Holdings plc	Computer Hardware	91.37B
STXS	Stereotaxis, Inc.	Medical Instruments & Supplies	201.58M
STZ	Constellation Brands, Inc.	Beverages - Brewers	27.37B
SU	Suncor Energy Inc.	Oil & Gas Integrated	67.06B
SUGP	SU Group Holdings Limited	Security & Protection Services	7.51M
SUI	Sun Communities, Inc.	REIT - Residential	17.16B
SUIG	SUI Group Holdings Limited	Credit Services	104.67M
SUN	Sunoco LP	Oil & Gas Refining & Marketing	8.73B
SUNC	SunocoCorp LLC	Oil & Gas Midstream	3.09B
SUNE	SUNation Energy Inc.	Solar	4.60M
SUNS	Sunrise Realty Trust, Inc.	REIT - Mortgage	125.75M
SUPN	Supernus Pharmaceuticals, Inc.	Drug Manufacturers - Specialty & Generic	3.14B
SUPV	Grupo Supervielle S.A.	Banks - Regional	845.37M
SUPX	SuperX AI Technology Limited	Software - Infrastructure	582.51M
SURG	SurgePays, Inc.	Telecom Services	19.50M
SUUN	PowerBank Corporation	Utilities - Renewable	37.22M
SUZ	Suzano S.A.	Paper & Paper Products	13.97B
SVAC	Spring Valley Acquisition Corp. III	Shell Companies	320.16M
SVAQ	Silicon Valley Acquisition Corp.	Shell Companies	294.63M
SVC	Service Properties Trust	REIT - Hotel & Motel	386.54M
SVCC	Stellar V Capital Corp.	Shell Companies	225.23M
SVCO	Silvaco Group, Inc.	Software - Application	103.51M
SVIV	Spring Valley Acquisition Corp. IV	Shell Companies	268.80M
SVM	Silvercorp Metals Inc.	Silver	3.07B
SVRA	Savara Inc.	Biotechnology	1.49B
SVRE	SaverOne 2014 Ltd.	Scientific & Technical Instruments	75.42M
SVRN	OceanPal Inc.	Marine Shipping	12.69M
SVV	Savers Value Village, Inc.	Specialty Retail	1.46B
SW	Smurfit Westrock Plc	Packaging & Containers	24.49B
SWAG	Stran & Company, Inc.	Advertising Agencies	32.00M
SWBI	Smith & Wesson Brands, Inc.	Aerospace & Defense	529.48M
SWIM	Latham Group, Inc.	Building Products & Equipment	782.76M
SWK	Stanley Black & Decker, Inc.	Tools & Accessories	13.41B
SWKH	SWK Holdings Corporation	Asset Management	198.61M
SWKS	Skyworks Solutions, Inc.	Semiconductors	8.96B
SWVL	Swvl Holdings Corp.	Railroads	15.74M
SWX	Southwest Gas Holdings, Inc.	Utilities - Regulated Gas	6.37B
SXC	SunCoke Energy, Inc.	Coking Coal	482.59M
SXI	Standex International Corporation	Specialty Industrial Machinery	3.18B
SXT	Sensient Technologies Corporation	Specialty Chemicals	4.32B
SXTC	China SXT Pharmaceuticals, Inc.	Drug Manufacturers - Specialty & Generic	2.13M
SXTP	60 Degrees Pharmaceuticals, Inc.	Biotechnology	4.00M
SY	So-Young International Inc.	Health Information Services	309.87M
